Rule_Index,Antecedent,Consequent,Support,Confidence,F1,Accuracy
1,{'Gender': 'male'},"Consequent{('Died', '1')}",0.45227995758218453,0.637042569081404,0.45227995758218453,0.694591728525981
2,{'Gender': 'male'},"Consequent{('Died', '0')}",0.2576882290562036,0.36295743091859595,0.2576882290562036,
3,{'Gender': 'female'},"Consequent{('Died', '0')}",0.24231177094379638,0.8354661791590493,0.24231177094379638,
4,"{'Gender': 'male', 'Passenger_Cat': 'crew'}","Consequent{('Died', '1')}",0.22269353128313893,0.6402439024390244,0.22269353128313893,
5,"{'Age_Cat': 'adult', 'Passenger_Cat': '3rd_class'}","Consequent{('Died', '1')}",0.16224814422057265,0.5964912280701754,0.16224814422057265,
6,{'Passenger_Cat': 'crew'},"Consequent{('Died', '0')}",0.14369034994697774,0.3904899135446686,0.14369034994697774,
7,"{'Passenger_Cat': '1st_class', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.1420996818663839,0.7723342939481268,0.1420996818663839,
8,{'Passenger_Cat': '3rd_class'},"Consequent{('Died', '0')}",0.12937433722163308,0.41924398625429554,0.12937433722163308,
9,"{'Gender': 'male', 'Passenger_Cat': 'crew', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.12513255567338283,0.3597560975609756,0.12513255567338283,
10,"{'Gender': 'male', 'Passenger_Cat': '3rd_class'}","Consequent{('Died', '0')}",0.06733828207847296,0.327319587628866,0.06733828207847296,
11,"{'Passenger_Cat': '3rd_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.06203605514316013,0.6030927835051546,0.06203605514316013,
12,"{'Passenger_Cat': '2nd_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.05726405090137858,0.9473684210526315,0.05726405090137858,
13,"{'Gender': 'male', 'Passenger_Cat': '2nd_class'}","Consequent{('Died', '1')}",0.05143160127253447,0.6598639455782312,0.05143160127253447,
14,"{'Passenger_Cat': '2nd_class', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '0')}",0.04878048780487805,0.9387755102040817,0.04878048780487805,
15,{'Gender': 'female'},"Consequent{('Died', '1')}",0.04772004241781548,0.16453382084095064,0.04772004241781548,
16,{'Passenger_Cat': '1st_class'},"Consequent{('Died', '1')}",0.04188759278897137,0.22636103151862463,0.04188759278897137,
17,"{'Passenger_Cat': '1st_class', 'Age_Cat': 'adult'}","Consequent{('Died', '1')}",0.04188759278897137,0.2276657060518732,0.04188759278897137,
18,"{'Passenger_Cat': '3rd_class', 'Gender': 'female'}","Consequent{('Died', '1')}",0.0408271474019088,0.39690721649484534,0.0408271474019088,
19,"{'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '1')}",0.0408271474019088,0.15430861723446893,0.0408271474019088,
20,"{'Gender': 'male', 'Passenger_Cat': '1st_class', 'Age_Cat': 'adult'}","Consequent{('Died', '1')}",0.039766702014846236,0.5102040816326531,0.039766702014846236,
21,"{'Gender': 'male', 'Passenger_Cat': '1st_class', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.03817603393425239,0.4897959183673469,0.03817603393425239,
22,"{'Passenger_Cat': '3rd_class', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '1')}",0.033934252386002124,0.39263803680981596,0.033934252386002124,
23,"{'Gender': 'male', 'Passenger_Cat': '2nd_class'}","Consequent{('Died', '0')}",0.026511134676564158,0.3401360544217687,0.026511134676564158,
24,"{'Age_Cat': 'child', 'Gender': 'male'}","Consequent{('Died', '0')}",0.02545068928950159,0.7164179104477612,0.02545068928950159,
25,"{'Age_Cat': 'child', 'Passenger_Cat': '3rd_class'}","Consequent{('Died', '0')}",0.019618239660657476,0.5362318840579711,0.019618239660657476,
26,"{'Passenger_Cat': 'crew', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '0')}",0.01855779427359491,0.9210526315789473,0.01855779427359491,
27,{'Age_Cat': 'child'},"Consequent{('Died', '1')}",0.016967126193001062,0.2782608695652174,0.016967126193001062,
28,"{'Age_Cat': 'child', 'Passenger_Cat': '3rd_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.009544008483563097,0.5806451612903226,0.009544008483563097,
29,"{'Age_Cat': 'child', 'Passenger_Cat': '2nd_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.008483563096500531,1.0,0.008483563096500531,
30,"{'Passenger_Cat': 'crew', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '1')}",0.0015906680805938495,0.07894736842105263,0.0015906680805938495,
31,"{'Age_Cat': 'child', 'Passenger_Cat': '1st_class', 'Gender': 'male'}","Consequent{('Died', '0')}",0.0005302226935312832,1.0,0.0005302226935312832,
