antecedent,consequent,support,confidence,f1
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '2nd_class'))","Consequent{('Died', '0')}",0.02040816326530612,1.0,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'female'), ('Passenger_Cat', '2nd_class'))","Consequent{('Died', '0')}",0.011815252416756176,1.0,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'male'), ('Passenger_Cat', '2nd_class'))","Consequent{('Died', '0')}",0.008592910848549946,1.0,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '1st_class'))","Consequent{('Died', '0')}",0.004296455424274973,1.0,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'male'), ('Passenger_Cat', '1st_class'))","Consequent{('Died', '0')}",0.00322234156820623,1.0,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '1st_class'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.0010741138560687433,1.0,
"Antecedent(('Passenger_Cat', '1st_class'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.09344790547798067,0.9886363636363636,
"Antecedent(('Passenger_Cat', '1st_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.09237379162191192,0.9885057471264368,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.06659505907626208,0.9393939393939394,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.05477980665950591,0.9272727272727272,
"Antecedent(('Passenger_Cat', 'crew'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.015037593984962405,0.875,
"Antecedent(('Passenger_Cat', 'crew'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.015037593984962405,0.875,
"Antecedent(('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.21804511278195488,0.8493723849372385,
"Antecedent(('Gender', 'female'))","Consequent{('Died', '0')}",0.24167561761546724,0.8458646616541353,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.047261009667024706,0.8301886792452831,
"Antecedent(('Age_Cat', 'child'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.023630504833512353,0.8148148148148148,
"Antecedent(('Passenger_Cat', '1st_class'))","Consequent{('Died', '0')}",0.1385606874328679,0.75,
"Antecedent(('Passenger_Cat', '1st_class'), ('Age_Cat', 'adult'))","Consequent{('Died', '0')}",0.13426423200859292,0.7440476190476191,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.12996777658431793,0.7289156626506024,
"Antecedent(('Passenger_Cat', '2nd_class'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.047261009667024706,0.7213114754098361,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'male'))","Consequent{('Died', '1')}",0.14500537056928034,0.7068062827225131,
"Antecedent(('Age_Cat', 'child'))","Consequent{('Died', '0')}",0.047261009667024706,0.6984126984126984,
"Antecedent(('Age_Cat', 'child'), ('Passenger_Cat', '3rd_class'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.010741138560687433,0.6666666666666666,
"Antecedent(('Gender', 'male'), ('Age_Cat', 'adult'))","Consequent{('Died', '1')}",0.4414607948442535,0.6534181240063593,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.06659505907626208,0.6458333333333334,
"Antecedent(('Passenger_Cat', '3rd_class'), ('Age_Cat', 'adult'), ('Gender', 'female'))","Consequent{('Died', '0')}",0.055853920515574654,0.6419753086419753,
"Antecedent(('Gender', 'male'))","Consequent{('Died', '1')}",0.4564983888292159,0.6390977443609023,
