Rule_Index,Antecedent,Consequent,Support,Confidence,F1,Accuracy
1,"{'Gender': 'male', 'Age_Cat': 'adult'}","Consequent{('Died', '1')}",0.4414607948442535,0.6534181240063593,0.4414607948442535,0.6519871106337272
2,"{'Passenger_Cat': 'crew', 'Age_Cat': 'adult'}","Consequent{('Died', '1')}",0.22126745435016112,0.5971014492753624,0.22126745435016112,
3,"{'Passenger_Cat': 'crew', 'Gender': 'male'}","Consequent{('Died', '1')}",0.21911922663802363,0.6200607902735562,0.21911922663802363,
4,"{'Passenger_Cat': '1st_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.09344790547798067,0.9886363636363636,0.09344790547798067,
5,"{'Passenger_Cat': '2nd_class', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.0644468313641246,0.5555555555555556,0.0644468313641246,
6,"{'Passenger_Cat': '3rd_class', 'Gender': 'male', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.04833512352309345,0.2710843373493976,0.04833512352309345,
7,"{'Passenger_Cat': '2nd_class', 'Gender': 'male'}","Consequent{('Died', '1')}",0.047261009667024706,0.7213114754098361,0.047261009667024706,
8,{'Passenger_Cat': '1st_class'},"Consequent{('Died', '1')}",0.04618689581095596,0.25,0.04618689581095596,
9,"{'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '1')}",0.03866809881847476,0.1506276150627615,0.03866809881847476,
10,"{'Passenger_Cat': '3rd_class', 'Gender': 'female'}","Consequent{('Died', '1')}",0.036519871106337275,0.3541666666666667,0.036519871106337275,
11,"{'Age_Cat': 'child', 'Gender': 'male'}","Consequent{('Died', '0')}",0.023630504833512353,0.6111111111111112,0.023630504833512353,
12,"{'Age_Cat': 'child', 'Passenger_Cat': '2nd_class'}","Consequent{('Died', '0')}",0.02040816326530612,1.0,0.02040816326530612,
13,"{'Age_Cat': 'child', 'Gender': 'male'}","Consequent{('Died', '1')}",0.015037593984962405,0.3888888888888889,0.015037593984962405,
14,"{'Passenger_Cat': 'crew', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '0')}",0.015037593984962405,0.875,0.015037593984962405,
15,"{'Age_Cat': 'child', 'Passenger_Cat': '3rd_class', 'Gender': 'male'}","Consequent{('Died', '1')}",0.015037593984962405,0.56,0.015037593984962405,
16,"{'Passenger_Cat': 'crew', 'Gender': 'female'}","Consequent{('Died', '0')}",0.015037593984962405,0.875,0.015037593984962405,
17,"{'Age_Cat': 'child', 'Passenger_Cat': '3rd_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.010741138560687433,0.6666666666666666,0.010741138560687433,
18,"{'Passenger_Cat': '2nd_class', 'Gender': 'male', 'Age_Cat': 'adult'}","Consequent{('Died', '0')}",0.00966702470461869,0.16981132075471697,0.00966702470461869,
19,"{'Passenger_Cat': 'crew', 'Gender': 'female'}","Consequent{('Died', '1')}",0.0021482277121374865,0.125,0.0021482277121374865,
20,"{'Age_Cat': 'child', 'Passenger_Cat': '1st_class', 'Gender': 'female'}","Consequent{('Died', '0')}",0.0010741138560687433,1.0,0.0010741138560687433,
21,"{'Passenger_Cat': '1st_class', 'Age_Cat': 'adult', 'Gender': 'female'}","Consequent{('Died', '1')}",0.0010741138560687433,0.011494252873563218,0.0010741138560687433,
